Common_Name,Code
"Unidentified Dowitcher","UNDO"
"Long-billed Dowitcher","LBDO"
"Jack Snipe","JASN"
"Wilson's Snipe","WISN"
"Common Snipe","COSN"
"Pin-tailed Snipe","PTSN"
"Eurasian Woodcock","EUWO"
"American Woodcock","AMWO"
"Wilson's Phalarope","WIPH"
"Red-necked Phalarope","RNPH"
"Red Phalarope","REPH"
"Oriental Pratincole","ORPR"
"Laughing Gull","LAGU"
"Franklin's Gull","FRGU"
"Little Gull","LIGU"
"Black-headed Gull","BHGU"
"Bonaparte's Gull","BOGU"
"Heermann's Gull","HEEG"
"Gray-hooded Gull","GHGU"
"Gray Gull","GRGU"
"Belcher's Gull","BEGU"
"Black-tailed Gull","BTGU"
"Mew Gull","MEGU"
"Ring-billed Gull","RBGU"
"California Gull","CAGU"
"Herring Gull","HERG"
"Yellow-legged Gull","YLGU"
"Thayer's Gull","THGU"
"Iceland Gull","ICGU"
"Lesser Black-backed Gull","LBBG"
"Slaty-backed Gull","SBGU"
"Yellow-footed Gull","YFGU"
"Western Gull","WEGU"
"Western X Glaucous-winged Gull Hybrid","WGWH"
"Glaucous-winged Gull","GWGU"
"Glaucous Gull","GLGU"
"Great Black-backed Gull","GBBG"
"Kelp Gull","KEGU"
"Unidentified Larus Gull","ULGU"
"Sabine's Gull","SAGU"
"Black-legged Kittiwake","BLKI"
"Red-legged Kittiwake","RLKI"
"Ross's Gull","ROGU"
"Ivory Gull","IVGU"
"Brown Noddy","BRNO"
"Black Noddy","BLNO"
"Blue-gray Noddy","BGNO"
"White Tern","WHTT"
"Sooty Tern","SOTE"
"Gray-backed Tern","GBAT"
"Bridled Tern","BRTE"
"Aleutian Tern","ALTE"
"Little Tern","LITE"
"Least Tern","LETE"
"Yellow-billed Tern","YBTE"
"Large-billed Tern","LBTE"
"Gull-billed Tern","GBTE"
"Caspian Tern","CATE"
"Inca Tern","INTE"
"Black Tern","BLTE"
"White-winged Tern","WWTE"
"Whiskered Tern","WHST"
"Roseate Tern","ROST"
"Common Tern","COTE"
"Arctic Tern","ARTE"
"Forster's Tern","FOTE"
"Royal Tern","ROYT"
"Great Crested Tern","GCTE"
"Sandwich Tern","SATE"
"Elegant Tern","ELTE"
"Black Skimmer","BLSK"
"Great Skua","GRSK"
"South Polar Skua","SPSK"
"Pomarine Jaeger","POJA"
"Parasitic Jaeger","PAJA"
"Long-tailed Jaeger","LTJA"
"Dovekie","DOVE"
"Common Murre","COMU"
"Thick-billed Murre","TBMU"
"Razorbill","RAZO"
"Great Auk","GRAU"
"Black Guillemot","BLGU"
"Pigeon Guillemot","PIGU"
"Long-billed Murrelet","LBMU"
"Marbled Murrelet","MAMU"
"Kittlitz's Murrelet","KIMU"
"Xantus's Murrelet","XAMU"
"Craveri's Murrelet","CRMU"
"Ancient Murrelet","ANMU"
"Cassin's Auklet","CAAU"
"Parakeet Auklet","PAAU"
"Least Auklet","LEAU"
"Whiskered Auklet","WHAU"
"Crested Auklet","CRAU"
"Rhinoceros Auklet","RHAU"
"Atlantic Puffin","ATPU"
"Horned Puffin","HOPU"
"Tufted Puffin","TUPU"
"Chestnut-bellied Sandgrouse","CBSA"
"Rock Pigeon","ROPI"
"Pale-vented Pigeon","PVPI"
"Scaled Pigeon","SCPI"
"Scaly-naped Pigeon","SNPI"
"White-crowned Pigeon","WCPI"
"Red-billed Pigeon","RBPI"
"Plain Pigeon","PLPI"
"Band-tailed Pigeon","BTPI"
"Ring-tailed Pigeon","RTAP"
"Ruddy Pigeon","RUDP"
"Short-billed Pigeon","SBPI"
"Oriental Turtle-Dove","ORTD"
"African Collared-Dove","AFCD"
"European Turtle-Dove","EUTD"
"Eurasian Collared-Dove","EUCD"
"Spotted Dove","SPDO"
"Zebra Dove","ZEBD"
"White-winged Dove","WWDO"
"Zenaida Dove","ZEND"
"Eared Dove","EADO"
"Mourning Dove","MODO"
"Socorro Dove","SODO"
"Passenger Pigeon","PAPI"
"Inca Dove","INDO"
"Common Ground-Dove","COGD"
"Plain-breasted Ground-Dove","PBGD"
"Ruddy Ground-Dove","RUGD"
"Blue Ground-Dove","BLGD"
"Maroon-chested Ground-Dove","MCGD"
"White-tipped Dove","WTDO"
"Gray-headed Dove","GHDO"
"Grenada Dove","GRDO"
"Caribbean Dove","CADO"
"Gray-chested Dove","GCDO"
"Olive-backed Quail-Dove","OBQD"
"Key West Quail-Dove","KWQD"
"Bridled Quail-Dove","BRQD"
"White-faced Quail-Dove","WFAQ"
"Chiriqui Quail-Dove","CHQD"
"Tuxtla Quail-Dove","TUQD"
"Purplish-backed Quail-Dove","PBQD"
"Buff-fronted Quail-Dove","BFQD"
"Russet-crowned Quail-Dove","RCQD"
"Gray-fronted Quail-Dove","GFQD"
"White-fronted Quail-Dove","WFRQ"
"Crested Quail-Dove","CRQD"
"Violaceous Quail-Dove","VIQD"
"Ruddy Quail-Dove","RUQD"
"Blue-headed Quail-Dove","BHQD"
"Budgerigar","BUDG"
"Rose-ringed Parakeet","RRPA"
"Painted Parakeet","PAIP"
"Sulphur-winged Parakeet","SWPA"
"Monk Parakeet","MOPA"
"Carolina Parakeet","CAPA"
"Green Parakeet","GREP"
"Pacific Parakeet","PACP"
"Crimson-fronted Parakeet","CFPA"
"Mitred Parakeet","MIPA"
"Hispaniolan Parakeet","HPAK"
"Cuban Parakeet","CPAK"
"Olive-throated Parakeet","OTPA"
"Orange-fronted Parakeet","OFPA"
"Brown-throated Parakeet","BTPA"
"Chestnut-fronted Macaw","CFMA"
"Military Macaw","MIMA"
"Great Green Macaw","GGMA"
"Red-and-green Macaw","RAGM"
"Scarlet Macaw","SCMA"
"Cuban Macaw","CUBM"
"Blue-and-yellow Macaw","BAYM"
"Thick-billed Parrot","TBPA"
"Maroon-fronted Parrot","MFPA"
"Barred Parakeet","BAPA"
"Green-rumped Parrotlet","GRUP"
"Mexican Parrotlet","MEXP"
"Spectacled Parrotlet","SPPA"
"Orange-chinned Parakeet","OCPA"
"White-winged Parakeet","WWPA"
"Red-fronted Parrotlet","RFPA"
"Blue-fronted Parrotlet","BFPA"
"Saffron-headed Parrot","SHPA"
"Brown-hooded Parrot","BHOP"
"Blue-headed Parrot","BHEP"
"White-crowned Parrot","WCPA"
"White-fronted Parrot","WFPA"
"Yellow-lored Parrot","YLPA"
"Cuban Parrot","CPAT"
"Yellow-billed Parrot","YBPA"
"Hispaniolan Parrot","HPAT"
"Puerto Rican Parrot","PRPA"
"Black-billed Parrot","BBPA"
"Red-crowned Parrot","RCPA"
"Lilac-crowned Parrot","LCPA"
"Red-lored Parrot","RLPA"
"Mealy Parrot","MEAP"
"Yellow-headed Parrot","YHPA"
"Yellow-naped Parrot","YNPA"
"Yellow-crowned Parrot","YCPA"
"Red-necked Parrot","RNPA"
"St. Lucia Parrot","SLPA"
"St. Vincent Parrot","SVPA"
"Imperial Parrot","IMPA"
"Common Cuckoo","COCU"
"Oriental Cuckoo","ORCU"
"Little Cuckoo","LITC"
"Squirrel Cuckoo","SQCU"
"Dark-billed Cuckoo","DBCU"
"Yellow-billed Cuckoo","YBCU"
"Pearly-breasted Cuckoo","PBCU"
"Mangrove Cuckoo","MACU"
"Cocos Cuckoo","COCC"
"Black-billed Cuckoo","BBCU"
"Chestnut-bellied Cuckoo","CBCU"
"Bay-breasted Cuckoo","BBRC"
"Jamaican Lizard-Cuckoo","JALC"
"Puerto Rican Lizard-Cuckoo","PRLC"
"Great Lizard-Cuckoo","GRLC"
"Hispaniolan Lizard-Cuckoo","HILC"
"Striped Cuckoo","STCU"
"Pheasant Cuckoo","PHCU"
"Lesser Ground-Cuckoo","LEGC"
"Lesser Roadrunner","LERO"
"Greater Roadrunner","GRRO"
"Rufous-vented Ground-Cuckoo","RVGC"
"Greater Ani","GRTA"
"Smooth-billed Ani","SBAN"
"Groove-billed Ani","GBAN"
"Barn Owl","BANO"
"Ashy-faced Owl","AFOW"
"Flammulated Owl","FLOW"
"Oriental Scops-Owl","ORSO"
"Western Screech-Owl","WESO"
"Eastern Screech-Owl","EASO"
"Balsas Screech-Owl","BASO"
"Pacific Screech-Owl","PASO"
"Whiskered Screech-Owl","WHSO"
"Tropical Screech-Owl","TRSO"
"Bearded Screech-Owl","BESO"
"Vermiculated Screech-Owl","VESO"
"Bare-shanked Screech-Owl","BSSO"
"Puerto Rican Screech-Owl","PRSO"
"Bare-legged Owl","BLOW"
"Crested Owl","CROW"
"Spectacled Owl","SPEO"
"Great Horned Owl","GHOW"
"Snowy Owl","SNOW"
"Northern Hawk Owl","NHOW"
"Northern Pygmy-Owl","NOPO"
"Costa Rican Pygmy-Owl","CRPO"
"Central American Pygmy-Owl","CAPO"
"Tamaulipas Pygmy-Owl","TAPO"
"Colima Pygmy-Owl","CPYO"
"Ferruginous Pygmy-Owl","FEPO"
"Cuban Pygmy-Owl","CUPO"
"Elf Owl","ELOW"
"Burrowing Owl","BUOW"
"Mottled Owl","MOOW"
"Black-and-white Owl","BLWO"
"Spotted Owl","SPOW"
"Spotted x Barred Owl Hybrid","SBOH"
"Barred Owl","BADO"
"Fulvous Owl","FUOW"
"Great Gray Owl","GGOW"
"Long-eared Owl","LEOW"
"Stygian Owl","STOW"
"Short-eared Owl","SEOW"
"Striped Owl","STRO"
"Jamaican Owl","JAOW"
"Boreal Owl","BOOW"
"Northern Saw-whet Owl","NSWO"
"Unspotted Saw-whet Owl","USWO"
"Unidentified Owl","UNOW"
"Short-tailed Nighthawk","SHTN"
"Lesser Nighthawk","LENI"
"Common Nighthawk","CONI"
"Antillean Nighthawk","ANNI"
"Common Pauraque","COPA"
"Common Poorwill","COPO"
"Jamaican Pauraque","JAPA"
"Least Pauraque","LEPA"
"Eared Poorwill","EAPO"
"Yucatan Poorwill","YUPO"
"Ocellated Poorwill","OCPO"
"Chuck-will's-widow","CWWI"
"Rufous Nightjar","RUNI"
"Greater Antillean Nightjar","GANI"
"Tawny-collared Nightjar","TCNI"
"Yucatan Nightjar","YUNI"
"Buff-collared Nightjar","BCNI"
"Whip-poor-will","WPWI"
"Puerto Rican Nightjar","PRNI"
"Dusky Nightjar","DUNI"
"White-tailed Nightjar","WTNI"
"Spot-tailed Nightjar","SPTN"
"Gray Nightjar","GRNI"
"Great Potoo","GRPO"
"Common Potoo","CPOT"
"Northern Potoo","NORP"
"Oilbird","OILB"
"Black Swift","BLSW"
"White-fronted Swift","WFSW"
"White-chinned Swift","WCHS"
"Spot-fronted Swift","SFSW"
"Chestnut-collared Swift","CCSW"
"White-collared Swift","WCSW"
"White-naped Swift","WNSW"
"Chimney Swift","CHSW"
"Vaux's Swift","VASW"
"Chapman's Swift","CHAS"
"Short-tailed Swift","STSW"
"Ashy-tailed Swift","ATSW"
"Band-rumped Swift","BRSW"
"Costa Rican Swift","CRSW"
"Gray-rumped Swift","GRSW"
"Lesser Antillean Swift","LASW"
"White-throated Needletail","WTNE"
"Mariana Swiftlet","MASW"
"Common Swift","COSW"
"Fork-tailed Swift","FTSW"
"Alpine Swift","ALSW"
"White-throated Swift","WTSW"
"Lesser Swallow-tailed Swift","LSTS"
"Great Swallow-tailed Swift","GSTS"
"Antillean Palm-Swift","ANPS"
"Bronzy Hermit","BRHE"
"Rufous-breasted Hermit","RBHE"
"Band-tailed Barbthroat","BTBA"
"Green Hermit","GREH"
"Long-billed Hermit","LBIH"
"Pale-bellied Hermit","PBHE"
"Stripe-throated Hermit","SRTH"
"White-tipped Sicklebill","WTSI"
"Tooth-billed Hummingbird","TBHU"
"Green-fronted Lancebill","GFRL"
"Scaly-breasted Hummingbird","SBRH"
"Wedge-tailed Sabrewing","WTSA"
"Long-tailed Sabrewing","LTSA"
"Rufous Sabrewing","RUSA"
